,id,name,tag_1,tag_2,tag_3,all_tags,peak_year,listen_count
0,0,MALICE MIZER,jrock,visualkei,gothic,"['weeabo', 'jrock', 'visualkei', 'betterthanladygaga', 'gothic', 'japanese']",2008,3
1,1,Diary of Dreams,darkwave,german,gothic,"['german', 'seenlive', 'darkwave', 'industrial', 'gothic', 'ambient', 'dark', 'vocal', 'electronic', 'truegothemo', 'gothicrock']",2009,12
2,2,Carpathian Forest,blackmetal,truenorwegianblackmetal,norwegianblackmetal,"['blackmetal', 'norwegianblackmetal', 'truenorwegianblackmetal', 'verykvlt', 'norskaryskmetal', 'saxophones']",2008,3
3,3,Moi dix Mois,jrock,japanese,visualkei,"['jrock', 'visualkei', 'metal', 'gothicjapanese', 'bazarov', 'rock', 'gothic', 'japanese', 'gothicmetal']",2008,2
4,4,Bella Morte,darkwave,gothic,gothicrock,"['gothic', 'gothicrock', 'darkwave', 'deathrock', 'covers']",2007,2
5,5,Moonspell,gothicmetal,blackmetal,doommetal,"['blackmetal', 'gothicmetal', 'doommetal', 'darkmetal', 'seenlive', 'gothicrock', 'dark', 'awesome', 'great', 'bestsongever', 'fuckingawesome', 'gothic', 'portuguese', 'instrumental', 'forwork', 'bazarov']",2008,10
6,6,Marilyn Manson,metal,industrial,rock,"['industrialpop', 'seenlive', 'industrialrock', 'childhood', 'instrumental', 'addictive', 'sexy', 'favorite', 'greatlyrics', 'fuckingawesome', 'masterpiece', 'sosadyetsobeautiful', 'attitude', 'industrial', 'alternativemetal', 'industrialmetal', 'alternativerock', 'metal', 'alternative', 'cartoonmetal', 'rock', 'manson', 'marilynmanson', 'shockrock', 'halloween', '2000s', 'american', 'ultimatefavorite', 'tags', 'as', 'legal', 'gothicrock', 'cover', 'gothicmetal', 'gothic', 'guerilla', 'gorgeous', 'stonerrock', 'hardrock', 'animals', 'glamrock', 'horrorrock', 'emo', 'screamo', 'melancholic', 'numetal', 'soundtrack', '00s', 'awesome', 'amazing', 'great', 'depression', 'rockmebabe', 'ifuckinglovethissong', 'coversthatareactuallygood', 'malevocalists', '90s', 'nightmarebeforechristmas', 'coversthatarefarfarbetterthantheoriginal', 'dark', 'melikey', 'heavymetal', 'filmmusiccomposer', 'greatcovers', 'shit', 'trashbagfilledwithvomit', 'ponyrape', 'intensemuthafuckinpowerviolence', 'analrape', 'othergreattracks', 'covers', 'usa']",2010,133
7,7,DIR EN GREY,jrock,visualkei,metal,"['rock', 'hardrockmetal', 'jrock', 'visualkei', 'weeabo', 'metal', 'japanese', 'hall', 'dark', 'favorites']",2008,12
8,8,Combichrist,industrial,ebm,darkelectro,"['industrial', 'futuremelon', 'terrorbanana', 'techno', 'darktechno', 'helltrance', 'alphaquadrant', 'industrialtechno', 'industrialdance', 'war', 'combichrist', 'seenlive', 'ebm', 'darkelectro', 'electronic', 'ultimatefavorite', 'electroindustrial', 'remix', 'tbm', 'prejebeno', 'electro', 'aggrotech']",2008,24
9,9,Grendel,ebm,darkelectro,industrial,"['terrorbanana', 'industrial', 'darkelectro', 'dutch', 'electronic', 'ebm', 'harshebm', 'melodicdeathmetal']",2008,9
10,10,Agonoize,ebm,industrial,darkelectro,"['terrorbanana', 'rave', 'industrial', 'ebm', 'darkelectro', 'electronic', 'german']",2008,6
11,11,Behemoth,deathmetal,blackmetal,brutaldeathmetal,"['deathmetal', 'brutaldeathmetal', 'technicaldeathmetal', 'blackeneddeathmetal', 'extrememetal', 'blackmetal', 'polish', 'deathblackmetal', 'blackmetalcabeza', 'polishdeathmetal', 'pldm']",2010,19
12,12,Hocico,ebm,darkelectro,industrial,"['electroindustrial', 'ebm', 'darkelectro', 'industrial', 'electronic', 'harshebm', 'friends', 'aggrotech']",2007,10
13,13,Dimmu Borgir,blackmetal,symphonicblackmetal,melodicblackmetal,"['symphonicblackmetal', 'halloween', 'blackmetal', 'deathmetal', 'melodicheavymetal', 'metal', 'awesome', 'darkmetal', 'norwegianblackmetal', 'atmosphericblackmetal', 'melodicblackmetal', 'extrememetal', 'symphonic', 'nordicmetal', 'truenorwegianblackmetal', 'norwegianmetal', 'symphonicmetal', 'prejebeno', 'closeyoureyesandimagine', 'blackmetalcabeza']",2008,26
14,14,London After Midnight,gothic,industrial,gothicrock,"['industrial', 'gothic', 'gothicrock', 'electronic', 'goth', 'heavy', 'weird', 'sexysongs', 'darkwave', 'covers']",2007,8
15,15,Psyclon Nine,industrial,darkelectro,ebm,"['industrial', 'terrorbanana', 'darkelectro', 'ebm', 'harshebm', 'aggrotech', 'heavy']",2010,6
16,16,The CrÃ¼xshadows,darkwave,gothic,industrial,"['electronic', 'industrial', 'gothic', 'synthpop', 'ebm', 'darkwave', 'ultimatefavorite', 'electropop', 'goth', 'covers', 'electronica', 'gothicrock']",2007,10
17,17,:wumpscut:,industrial,ebm,electronic,"['pokraftwerkski', 'ogonj', 'onipout', 'ohmsweetohm', 'industrial', 'electronic', 'ebm', 'ultimatefavorite', 'electroindustrial', 'remix', 'perfect', 'german', 'darkelectro', 'favorite', 'darkwave']",2008,13
18,18,Limbonic Art,blackmetal,symphonicmetal,symphonicblackmetal,"['blackmetal', 'symphonicmetal', 'symphonicblackmetal', 'norwegianblackmetal', 'metal']",2010,1
19,19,Artista sconosciuto,no_tags,,,[],2004,1
20,20,xotox,industrial,noise,powernoise,"['industrial', 'powernoise', 'noise', 'electroindustrial', 'ebm']",2008,1
21,21,The Kovenant,industrialmetal,electronic,cybermetal,"['industrialmetal', 'electronic', 'cybermetal', 'blackmetal', 'industrial', 'prejebeno', 'justcouldnotgetanybetter', 'industrialblackmetal']",2008,4
22,22,Feindflug,industrial,ebm,electroindustrial,"['terrorbanana', 'rave', 'ebm', 'industrial', 'electroindustrial', 'approfondire']",2008,4
23,23,Cradle of Filth,blackmetal,gothicmetal,metal,"['blackmetal', 'deathmetal', 'gothicmetal', 'metal', 'gothic', 'symphonicblackmetal', 'cover', 'greatintro', 'whoisgothlol', 'blackgay', 'melodicblackmetal', 'uk']",2007,26
24,24,Tamtrum,darkelectro,french,harshebm,"['darkelectro', 'harshebm', 'french', 'electronic', 'melancholy', 'industrial', 'seenlive', 'favourites', 'sad', 'friends', 'touredwith']",2007,2
25,25,Laibach,industrial,ebm,electronic,"['avantgarde', 'industrial', 'favorites', 'electro', 'electronic', 'ebm', 'ultimatefavorite', 'cover', 'covers', 'german', 'experimental']",2007,6
26,26,Gorgoroth,blackmetal,norwegianblackmetal,truenorwegianblackmetal,"['blackmetal', 'seenlive', 'trueblackmetal', 'norwegianblackmetal', 'truenorwegianblackmetal', 'verykvlt', 'killerdrums', 'metal', 'blackmetalcabeza', 'satanicmetal']",2010,6
27,27,And One,synthpop,ebm,electronic,"['synthpop', '90s', 'synth', 'seenlive', 'thebeowulfschoice', 'scholessong', 'pokraftwerkski', 'myfavfun', 'touchingsong', 'ogonj', 'absolutedisco', 'onipout', 'ohmsweetohm', 'nejlepsi', 'poandoneovski', 'truesynthpop', 'electronic', 'loveliness', 'industrial', 'metal', 'ambient', 'newwave', '80s', 'german', 'dance', 'ebm', 'psychedelic', 'trance', 'dark', 'sexy', 'ethnic', 'andone', 'experimental', 'gothic', 'newromantic', 'darkwave', 'futurepop', 'sexysongs', 'newmanesque', 'alternative', 'drum', 'beat']",2008,32
28,28,Amduscia,ebm,darkelectro,industrial,"['terrorbanana', 'seenlive', 'darkelectro', 'industrial', 'ebm', 'dark', 'aggrotech']",2010,4
29,29,Covenant,ebm,electronic,futurepop,"['ebm', 'seenlive', 'swedish', 'futurepopanthem', 'electronic', 'futurepop', 'industrial', 'electronica', 'synthpop', 'favorites', 'darkwave', 'ultimatefavorite', 'blackmetal', 'prejebeno', 'newwave', '80s', 'succulent3s']",2007,16
30,30,Icon of Coil,ebm,industrial,futurepop,"['ebm', 'futurepopanthem', 'norwegian', 'futurepop', 'favorites', 'electronic', 'industrial', 'ultimatefavorite', 'synthpop']",2008,9
31,31,KMFDM,industrial,industrialmetal,industrialrock,"['industrialmetal', 'electronic', 'german', 'industrial', 'industrialrock', 'electronica', 'addictive', 'awesome', 'musicfortossingfurniturearound', 'takeyourshirtoffanddancetoit', 'rockhard', 'ebm', 'ultimatefavorite', 'kmfdm', 'interesting', 'ultraheavybeat']",2010,14
32,32,Funker Vogt,ebm,german,darkwave,"['german', 'ebm', 'aggrotech', 'darkwave', 'industrial']",2008,5
33,33,Dawn of Ashes,darkelectro,terrorebm,blackmetal,"['terrorbanana', 'terrorebm', 'darkelectro', 'blackmetal', 'industrial', 'ebm', 'deathcore', 'harshebm', 'postindustrial', 'dawnofashesangels']",2006,5
34,34,Sopor Aeternus & The Ensemble of Shadows,darkwave,gothic,electronic,"['gothic', 'darkwave', 'electronic', 'medieval', 'german', 'instrumental', 'cover', 'makesmewannadance', 'poem']",2007,11
35,35,The Faint,electronic,dance,indie,"['alternative', 'indie', 'catchy', 'gossipgirl', 'americanartists', 'electronic', 'dance', 'indierock', 'indi', 'berepshowsthelove', 'seenlive', 'witchclash', 'mustseelivebeforedying', 'songstodownloadlater', 'smashitup', 'bouncy', 'othergreattracks', 'thefaint']",2007,14
36,36,God Module,ebm,darkelectro,dark,"['ebm', 'dark', 'darkelectro', 'industrial', 'aggrotech']",2008,7
37,37,Noisuf-X,industrial,ebm,powernoise,"['industrial', 'powernoise', 'ebm', 'electronic', 'noise']",2008,3
38,38,Das Ich,industrial,ebm,german,"['industrial', 'ebm', 'favoritesongs', 'remix', 'german', 'seenlive', 'gothic', 'darkwave']",2009,1
39,39,Mindless Self Indulgence,punk,industrial,electronic,"['electronic', 'industrial', 'alternative', 'punk', 'ultimatefavorite', 'experimental', 'metal', 'rock', 'electronica', 'seenlive', 'industrialjunglepussypunk', 'live', 'thefuckingbest', 'iwanttodanceinmyunderwear', 'synthpunk', 'magnificentlymediocre', 'mindlessselfindulgence']",2010,39
