,id,name,url
0,0,MALICE MIZER,http://www.last.fm/music/MALICE+MIZER
1,1,Diary of Dreams,http://www.last.fm/music/Diary+of+Dreams
2,2,Carpathian Forest,http://www.last.fm/music/Carpathian+Forest
3,3,Moi dix Mois,http://www.last.fm/music/Moi+dix+Mois
4,4,Bella Morte,http://www.last.fm/music/Bella+Morte
5,5,Moonspell,http://www.last.fm/music/Moonspell
6,6,Marilyn Manson,http://www.last.fm/music/Marilyn+Manson
7,7,DIR EN GREY,http://www.last.fm/music/DIR+EN+GREY
8,8,Combichrist,http://www.last.fm/music/Combichrist
9,9,Grendel,http://www.last.fm/music/Grendel
10,10,Agonoize,http://www.last.fm/music/Agonoize
11,11,Behemoth,http://www.last.fm/music/Behemoth
12,12,Hocico,http://www.last.fm/music/Hocico
13,13,Dimmu Borgir,http://www.last.fm/music/Dimmu+Borgir
14,14,London After Midnight,http://www.last.fm/music/London+After+Midnight
15,15,Psyclon Nine,http://www.last.fm/music/Psyclon+Nine
16,16,The CrÃ¼xshadows,http://www.last.fm/music/The+Cr%C3%BCxshadows
17,17,:wumpscut:,http://www.last.fm/music/%3Awumpscut%3A
18,18,Limbonic Art,http://www.last.fm/music/Limbonic+Art
19,19,Artista sconosciuto,http://www.last.fm/music/Artista+sconosciuto
20,20,xotox,http://www.last.fm/music/xotox
21,21,The Kovenant,http://www.last.fm/music/The+Kovenant
22,22,Feindflug,http://www.last.fm/music/Feindflug
23,23,Cradle of Filth,http://www.last.fm/music/Cradle+of+Filth
24,24,Tamtrum,http://www.last.fm/music/Tamtrum
25,25,Laibach,http://www.last.fm/music/Laibach
26,26,Gorgoroth,http://www.last.fm/music/Gorgoroth
27,27,And One,http://www.last.fm/music/And+One
28,28,Amduscia,http://www.last.fm/music/Amduscia
29,29,Covenant,http://www.last.fm/music/Covenant
30,30,Icon of Coil,http://www.last.fm/music/Icon+of+Coil
31,31,KMFDM,http://www.last.fm/music/KMFDM
32,32,Funker Vogt,http://www.last.fm/music/Funker+Vogt
33,33,Dawn of Ashes,http://www.last.fm/music/Dawn+of+Ashes
34,34,Sopor Aeternus & The Ensemble of Shadows,http://www.last.fm/music/Sopor%2BAeternus%2B%2526%2BThe%2BEnsemble%2Bof%2BShadows
35,35,The Faint,http://www.last.fm/music/The+Faint
36,36,God Module,http://www.last.fm/music/God+Module
37,37,Noisuf-X,http://www.last.fm/music/Noisuf-X
38,38,Das Ich,http://www.last.fm/music/Das+Ich
39,39,Mindless Self Indulgence,http://www.last.fm/music/Mindless+Self+Indulgence
40,40,Pyotr Ilyich Tchaikovsky,http://www.last.fm/music/Pyotr+Ilyich+Tchaikovsky
41,41,Emperor,http://www.last.fm/music/Emperor
42,42,Anorexia Nervosa,http://www.last.fm/music/Anorexia+Nervosa
43,43,Reaper,http://www.last.fm/music/Reaper
44,44,Gothminister,http://www.last.fm/music/Gothminister
45,45,Duran Duran,http://www.last.fm/music/Duran+Duran
46,46,Morcheeba,http://www.last.fm/music/Morcheeba
47,47,Air,http://www.last.fm/music/Air
48,48,Hooverphonic,http://www.last.fm/music/Hooverphonic
49,49,Kylie Minogue,http://www.last.fm/music/Kylie+Minogue
50,50,Daft Punk,http://www.last.fm/music/Daft+Punk
51,51,Thievery Corporation,http://www.last.fm/music/Thievery+Corporation
52,52,Goldfrapp,http://www.last.fm/music/Goldfrapp
53,53,New Order,http://www.last.fm/music/New+Order
54,54,Matt Bianco,http://www.last.fm/music/Matt+Bianco
55,55,Talk Talk,http://www.last.fm/music/Talk+Talk
56,56,Prefab Sprout,http://www.last.fm/music/Prefab+Sprout
57,57,Enigma,http://www.last.fm/music/Enigma
58,58,RÃ¶yksopp,http://www.last.fm/music/R%C3%B6yksopp
59,59,Coldplay,http://www.last.fm/music/Coldplay
60,60,Faithless,http://www.last.fm/music/Faithless
61,61,Madonna,http://www.last.fm/music/Madonna
62,62,Icehouse,http://www.last.fm/music/Icehouse
63,63,Sade,http://www.last.fm/music/Sade
64,64,Moby,http://www.last.fm/music/Moby
65,65,Dido,http://www.last.fm/music/Dido
66,66,Depeche Mode,http://www.last.fm/music/Depeche+Mode
67,67,CafÃ© Del Mar,http://www.last.fm/music/Caf%C3%A9+Del+Mar
68,68,Basia,http://www.last.fm/music/Basia
69,69,Camouflage,http://www.last.fm/music/Camouflage
70,70,Electronic,http://www.last.fm/music/Electronic
71,71,George Michael,http://www.last.fm/music/George+Michael
72,72,The Adventures,http://www.last.fm/music/The+Adventures
73,73,Fiction Factory,http://www.last.fm/music/Fiction+Factory
74,74,Groove Armada,http://www.last.fm/music/Groove+Armada
75,75,Portishead,http://www.last.fm/music/Portishead
76,76,Marc Almond,http://www.last.fm/music/Marc+Almond
77,77,Cock Robin,http://www.last.fm/music/Cock+Robin
78,78,Cut Copy,http://www.last.fm/music/Cut+Copy
79,79,Spandau Ballet,http://www.last.fm/music/Spandau+Ballet
80,80,Katie Melua,http://www.last.fm/music/Katie+Melua
81,81,Deacon Blue,http://www.last.fm/music/Deacon+Blue
82,82,Gorillaz,http://www.last.fm/music/Gorillaz
83,83,Lady Gaga,http://www.last.fm/music/Lady+Gaga
84,84,Kosheen,http://www.last.fm/music/Kosheen
85,85,Nik Kershaw,http://www.last.fm/music/Nik+Kershaw
86,86,Vitamin Z,http://www.last.fm/music/Vitamin+Z
87,87,Jean-Michel Jarre,http://www.last.fm/music/Jean-Michel+Jarre
88,88,Ministry of Sound,http://www.last.fm/music/Ministry+of+Sound
89,89,Simply Red,http://www.last.fm/music/Simply+Red
90,90,Fleetwood Mac,http://www.last.fm/music/Fleetwood+Mac
91,91,Duffy,http://www.last.fm/music/Duffy
92,92,Japan,http://www.last.fm/music/Japan
93,93,INXS,http://www.last.fm/music/INXS
94,94,ABC,http://www.last.fm/music/ABC
95,95,Pleq,http://www.last.fm/music/Pleq
96,96,Segue,http://www.last.fm/music/Segue
97,97,Max Richter,http://www.last.fm/music/Max+Richter
98,98,Celer,http://www.last.fm/music/Celer
99,99,Pjusk,http://www.last.fm/music/Pjusk
100,100,Pleq & Segue,http://www.last.fm/music/Pleq%2B%2526%2BSegue
101,101,Burial,http://www.last.fm/music/Burial
102,102,Magnitophono,http://www.last.fm/music/Magnitophono
103,103,andy graydon,http://www.last.fm/music/andy+graydon
104,104,ddekombinacja,http://www.last.fm/music/ddekombinacja
105,105,Pleq & Anna Rose Carter,http://www.last.fm/music/+noredirect/Pleq%2B%2526%2BAnna%2BRose%2BCarter
106,106,Go Koyashiki,http://www.last.fm/music/Go+Koyashiki
107,107,Dustin O'Halloran,http://www.last.fm/music/Dustin+O%27Halloran
108,108,offthesky,http://www.last.fm/music/offthesky
109,109,Nebulo,http://www.last.fm/music/Nebulo
110,110,Fjordne,http://www.last.fm/music/Fjordne
111,111,Pleq & Chihiro,http://www.last.fm/music/Pleq%2B%2526%2BChihiro
112,112,Spyweirdos,http://www.last.fm/music/Spyweirdos
113,113,billy gomberg + offthesky,http://www.last.fm/music/+noredirect/billy%2Bgomberg%2B%252B%2Boffthesky
114,114,Deru,http://www.last.fm/music/Deru
115,115,Lukid,http://www.last.fm/music/Lukid
116,116,Manekinekod,http://www.last.fm/music/Manekinekod
