,tagID,tagValue
0,0,metal
1,1,alternative metal
2,2,goth rock
3,3,black metal
4,4,death metal
5,5,industrial metal
6,6,gothic metal
7,7,terror ebm
8,8,electro-industrial
9,9,harsh ebm
10,10,post black metal
11,11,aggrotech
12,12,chillout
13,13,ambient
14,14,downtempo
15,15,new wave
16,16,synth pop
17,17,electronic
18,18,80's
19,19,lounge
20,20,trip-hop
21,21,acid jazz
22,22,new age
23,23,pop
24,24,80s
25,25,atmospheric
26,26,ethereal
27,27,deutsch
28,28,schlager
29,29,german
30,30,hi-nrg
31,31,avant-garde
32,32,experimental
33,33,minimal
34,34,cyberpunk
35,35,club house
36,36,groove
37,37,cafe del mar
38,38,dance
39,39,gregorian chant
40,40,female vovalists
41,41,synth-pop
42,42,classic 80s
43,43,glitch
44,44,u-cover
45,45,melancholy
46,46,idm
47,47,vu-us
48,48,female vocalist
49,49,modern classical
50,50,clicks and cuts
51,51,databloem
52,52,field recording
53,53,october man recordings
54,54,greece
55,55,melancholic
56,56,clicks'n'cuts
57,57,halbischt
58,58,drone
59,59,melodramatic popular song minimal
60,60,industrial
61,61,trip hop
62,62,basses frequences
63,63,mille plateaux
64,64,folktronica
65,65,abstract
66,66,noise
67,67,glitch hop
68,68,dub
69,69,dubstep
70,70,hiphop
71,71,hard rock
72,72,rock
73,73,synthpop
74,74,psychedelic rock
75,75,progressive metal
76,76,ambient rock
77,77,alternative rock
78,78,alternative
79,79,glam rock
80,80,indie
81,81,doom metal
82,82,jazz
83,83,indie rock
84,84,funk
85,85,ebm
86,86,post-rock
87,87,psychedelic
88,88,symphonic metal
89,89,trance
90,90,thrash metal
91,91,dope
92,92,israeli
93,93,winter
94,94,autumn
95,95,spring
96,96,want
97,97,summer
98,98,sunshine
99,99,hip hop under
100,100,raptuga
101,101,hip-hop
102,102,rap
103,103,chill out
104,104,house
105,105,taraxinha
106,106,kizomba
107,107,rock and roll
108,108,pop rock
109,109,kizomba zouk
110,110,70 hits
111,111,underground hip hp
112,112,hip hop angolano
113,113,luso hip hop
114,114,french rap
115,115,jam
116,116,kwasa
117,117,semba
118,118,angola
119,119,world music
120,120,uk
121,121,old school
122,122,new york
123,123,pop dance
124,124,manguraunderground
125,125,zouk
126,126,seen live
127,127,hit
128,128,music idol
129,129,female vocalists
130,130,girl groups
131,131,girls
132,132,deutschsprachig
133,133,singer-songwriter
134,134,german artists
135,135,bundesvision song contest 2006
136,136,specials to 3mmey
137,137,hard rock - metal
138,138,j-rock
139,139,j-pop
140,140,visual kei
141,141,electronic - trance - psytrance
142,142,classical - pop
143,143,arabic
144,144,kpop
145,145,jaebeom
146,146,top
147,147,gd
148,148,g-dragon
149,149,2pm
150,150,wonder girls
151,151,jyp
152,152,junsu
153,153,2am
154,154,park jaebum
155,155,park jaebeom
156,156,jaebum
157,157,jaywalkers
158,158,anime
159,159,noise rock
160,160,kim jong kook
161,161,soya
162,162,niece
163,163,k-pop
164,164,good music
165,165,death cab for cutie
166,166,rnb
167,167,teen rock
168,168,pop punk
169,169,grunge
170,170,my fav punk band
171,171,so cool
172,172,lyceum
173,173,belarussian pop
174,174,belarussian rnb
175,175,emo
176,176,nu metal
177,177,screamo
178,178,gothic
179,179,post-hardcore
180,180,punk
181,181,punk rock
182,182,christian rock
183,183,soundtrack
184,184,acoustic
185,185,emocore
186,186,electronica
187,187,polish
188,188,industrial rock
189,189,gothic rock
190,190,instrumental
191,191,classic rock
192,192,country
193,193,hardcore
194,194,british
195,195,polish rock
196,196,gangsta rap
197,197,rapcore
198,198,electropop
199,199,hot
200,200,guilty pleasures
201,201,electro pop
202,202,disco
203,203,fierce
204,204,urban pop
205,205,<3
206,206,want to see live
207,207,diva
208,208,legend
209,209,00s
210,210,thats hot
211,211,criminal
212,212,beautiful
213,213,big voice
214,214,icon
215,215,american
216,216,untalented
217,217,slut
218,218,whore
219,219,fake boobs
220,220,the hills
221,221,people who have no talent
222,222,umtalented
223,223,bad
224,224,money
225,225,california
226,226,comedy
227,227,catchy
228,228,epic
229,229,love it
230,230,ballad
231,231,addictive
232,232,dark
233,233,amazing
234,234,dancepop
235,235,the fame monster
236,236,#1
237,237,sexy
238,238,spanish new wave
239,239,80s pop espanol
240,240,spanish pop
241,241,power pop
242,242,spanish rock
243,243,spanish pop-rock
244,244,garage
245,245,pop espanol
246,246,60s
247,247,garage revival
248,248,garage rock
249,249,60s psychedelic
250,250,swing
251,251,mod
252,252,rockabilly
253,253,freakbeat
254,254,rock espanol
255,255,retro swing
256,256,swing revival
257,257,neo swing
258,258,psychobilly
259,259,grave stompers
260,260,punkabilly
261,261,50s rock revival
262,262,80s garage
263,263,90s pop espanol
264,264,ska
265,265,psychedelic garage
266,266,psychedelic garage revival
267,267,surf
268,268,techno pop
269,269,spanish rockabilly
270,270,60s garage
271,271,garage surf
272,272,ska revival
273,273,surf revival
274,274,post-punk
275,275,instro rock
276,276,mod revival
277,277,rock urbano
278,278,ska punk
279,279,rad
280,280,grind
281,281,spacy
282,282,raw
283,283,1st take
284,284,awesome
285,285,pretty
286,286,lovely
287,287,beatsy
288,288,hot guitar
289,289,lesser known yet streamable artists
290,290,greek
291,291,folk
292,292,cypriot
293,293,greek pop
294,294,greek rock
295,295,indie pop
296,296,pop-rock
297,297,greek alternative
298,298,world
299,299,greek hip-hop
300,300,eurovision
301,301,ethnic
302,302,x factor
303,303,hip hop
304,304,pop-folk
305,305,male vocalists
306,306,pop folk
307,307,latin
308,308,electro
309,309,modern folk
310,310,reggae
311,311,greek folk
312,312,laiko
313,313,greek rap
314,314,asian
315,315,entexno
316,316,south pacific
317,317,traditional
318,318,spanish
319,319,chilean
320,320,french
321,321,pacific
322,322,hood
323,323,lady
324,324,ft
325,325,wale
326,326,progressive trance
327,327,psycho
328,328,slayer
329,329,death
330,330,pain
331,331,atheist
332,332,palestine
333,333,pestilence
334,334,noize
335,335,idmbient
336,336,crust
337,337,witch house
338,338,russian
339,339,female
340,340,gay
341,341,gay icons
342,342,teen pop
343,343,gay icon
344,344,europop
345,345,90s
346,346,girl
347,347,fun
348,348,female pop
349,349,latin pop
350,350,dance pop
351,351,queen of pop
352,352,top artists
353,353,australian
354,354,radio crazy
355,355,toxic
356,356,brit pop
357,357,favorites
358,358,pwl
359,359,kylie minogue
360,360,my favorite music
361,361,mexican
362,362,kylie
363,363,favorite
364,364,r and b
365,365,best of pop
366,366,i luv this
367,367,ateens
368,368,russian metalcore
369,369,metalcore
370,370,nintendo-core
371,371,deathcore
372,372,bosnian thrashcore
373,373,metal core
374,374,thrashcore
375,375,female melodic death metal
376,376,modern melodic metal
377,377,modern melodic death metal
378,378,melodic death metal
379,379,heavy metal
380,380,progressive rock
381,381,brit rock
382,382,britpop
383,383,indsutrial
384,384,shoegaze
385,385,death rock
386,386,dream pop
387,387,proto-punk
388,388,new romantic
389,389,electroclash
390,390,alterntative rock
391,391,alternative pop
392,392,popstars
393,393,talent
394,394,king of pop
395,395,the king of pop
396,396,michael-jackson-the-king-of-pop
397,397,girlgroup
398,398,disney
399,399,brazil
400,400,genial
401,401,female vocals
402,402,guitar virtuoso
403,403,albums i own
404,404,andre matos
405,405,best band ever
406,406,great singer
407,407,melodic metal
408,408,nwobhm
409,409,tr00
410,410,rock opera
411,411,iron maiden cover
412,412,metal god
413,413,sao paulo
414,414,best singer ever
415,415,male vocals
416,416,helloween
417,417,progressive
418,418,pastel
419,419,depressive
420,420,hangar
421,421,jau
422,422,babi fernandes nadaleto
423,423,heavy rock
424,424,hugo mariutti
425,425,brazilian
426,426,nightwish cover
427,427,adrian dragassakis
428,428,breyla iv
429,429,angra
430,430,rafael bittencourt
431,431,animal
432,432,fodinha
433,433,clasical
434,434,industrail rock
435,435,sludge
436,436,new ag
437,437,progessive metal
438,438,blues rock
439,439,grunge rock
440,440,favourites
441,441,my favourite songs
442,442,solar stone
443,443,underworld
444,444,sophie ellis-bextor
445,445,plaid
446,446,adymus
447,447,dj tony venilman
448,448,guru josh project
449,449,wolfgang gartner
450,450,dj disciple
451,451,dj eco
452,452,danjo
453,453,rozza
454,454,dj walus
455,455,the touch
456,456,nate wollman
457,457,eliess
458,458,amntqnn onratob
459,459,david amo
460,460,dj antonio
461,461,art meson
462,462,dan stone
463,463,kurd maverick
464,464,andrew wooden
465,465,spirit catcher
466,466,that mucho
467,467,ernesto vs bastian
468,468,anjunabeats
469,469,julien creance
470,470,silent intensity
471,471,transa
472,472,radio romania
473,473,radio
474,474,usa
475,475,sasha
476,476,party
477,477,rick astley
478,478,thomas newman
479,479,smile
480,480,poison
481,481,runner runner
482,482,taylor momsen
483,483,all time low
484,484,nothing personal
485,485,kesha
486,486,glee
487,487,synth
488,488,synth wave
489,489,80s awesome
490,490,80s party
491,491,i love 80s
492,492,melodic
493,493,brilliant
494,494,pet shop boys
495,495,back to the 80s
